(-199, -597, 2006, -21, 104, 140)
(-245, -546, 1876, -40, 92, 126)
(-420, -595, 1936, 252, 35, 129)
(-477, -678, 2023, 107, 83, 106)
(-239, -607, 2036, 323, 41, 106)
(-205, -560, 1894, 220, 43, 107)
(-475, -584, 1952, 141, 58, 110)
(-30, -553, 1880, 347, 3, 89)
(-211, -677, 1734, -162, 94, 230)
(-222, -663, 2036, 128, 25, 120)
(-246, -536, 1860, 736, -130, 333)
(-147, -608, 2014, 1570, -246, 218)
(-147, -205, 1329, 10143, -1322, 430)
(-115, 499, 2266, 4172, -558, 518)
(-113, 456, 1922, 5486, -807, 875)
(-172, 846, 2031, 6178, -1097, 1020)
(84, 1716, 1336, 8260, -996, 1481)
(385, 1458, 841, 6118, -156, 1191)
(169, 1634, 1161, 743, 766, -38)
(162, 1909, 919, 852, 71, 1277)
(246, 1353, 782, 8354, -408, 830)
(296, 1940, -494, 11043, -1331, 370)
(360, 1794, -938, 4203, -796, 63)
(383, 1576, -1110, 3045, -258, 418)
(437, 1720, -1073, 2238, 141, 212)
(403, 1344, -1298, 3017, 92, -580)
(33, 1379, -1757, 3069, -876, -46)
(85, 1485, -1700, 3552, -608, 87)
(265, 123, -1606, 2877, -1054, 1227)
(-85, 585, -1837, 1292, -143, -447)
(174, 523, -2191, 2054, 1039, -439)
(191, 580, -1966, 1732, 369, -295)
(97, 347, -1629, 784, 170, -337)
(174, 188, -1988, -182, -683, 92)
(97, 658, -2183, -355, -584, -254)
(-120, -123, -2219, -721, -986, -133)
(-194, 311, -1851, -251, -132, 279)
(-84, 468, -2153, -353, -239, -152)
(-168, 373, -2298, -169, -316, 105)
(-62, 713, -1977, -579, 9, 69)
(-37, 441, -2039, -206, 487, -57)
(-139, 224, -1909, -120, 52, 256)
(-93, 266, -1882, -163, 122, 37)
(-15, 373, -2042, 24, 86, 66)
(-70, 533, -1817, -148, 245, 116)
(-147, 353, -2245, 4, 144, -42)
(-66, 466, -1899, -40, 160, 218)
(-67, 499, -1873, 84, 351, -143)
(-31, 340, -2046, 81, 143, 34)
(-55, 390, -1929, -103, 209, 82)
(-126, 470, -2046, 7, -132, 24)
(-52, 406, -1860, -213, 123, 119)
(-14, 444, -1827, -72, 92, -15)
(-66, 434, -1997, -108, 149, -81)
(-246, 497, -1840, -140, 67, 114)
(237, 410, -1836, -153, 153, 221)
(-70, 31, -2273, -295, 16, -10)
(-18, 725, -1921, -788, 202, 275)
(-7, 689, -1936, -2184, 611, -284)
(55, -426, -2405, -3797, 993, 229)
(107, 1529, -1215, -5176, 1275, 579)
(465, 1745, -1425, -8375, 2140, 8)
(330, 1561, -931, -2332, 375, 931)
(273, 1761, -556, -3464, 686, -125)
(355, 1784, -120, -9455, 2954, 935)
(397, 1623, 1256, -13906, 405, -532)
(472, 1345, 1516, -8970, 892, 121)
(309, 1123, 1658, -5159, 720, -1280)
(118, 562, 1906, -3417, 1009, -305)
(196, 610, 2082, -4376, 774, -369)
(245, 14, 1721, -2902, 562, -93)
(7, -463, 2073, -3577, 602, -19)
(90, -278, 2024, -3648, 591, -45)
(-255, -643, 1809, -1249, 625, -248)
(-106, -631, 1952, -640, 717, -102)
(-199, -723, 1883, 53, 605, -328)
(-44, -898, 1967, 122, -198, 62)
(-24, -721, 1952, 577, 71, 49)
(-140, -517, 1968, 116, -19, 163)
(-116, -708, 1836, 407, 40, 126)
(-186, -617, 1819, 556, 40, 315)
(-144, -743, 1849, 219, -30, 176)
(-132, -599, 1890, 337, 29, 170)
(-99, -638, 1890, 355, 75, 55)
(-114, -726, 2183, 26, -47, 137)
(-175, -578, 1876, 224, 65, -64)
(-180, -656, 2102, 101, 7, 168)
(-181, -621, 1930, 103, 60, 94)
(-125, -668, 1893, -31, 20, 109)
(-112, -721, 1858, -135, -60, 212)
(-178, -524, 1824, 517, 146, -37)
(-137, -636, 1672, 168, 49, 130)
(-62, -650, 1849, 74, 19, 67)
(-175, -647, 1940, 149, 35, 31)
(-59, -686, 1860, 99, 2, 65)
(-171, -660, 1871, 117, 28, 67)
(-105, -984, 1919, 45, 17, 105)
(-100, -571, 1949, 86, 12, 14)
(-121, -695, 1939, 74, 243, 81)
(-174, -759, 1922, 292, 46, 44)
(-130, -751, 1887, 43, 4, 103)
(-88, -684, 1945, 191, 10, 70)
(-134, -660, 1872, 104, 12, 103)
(-92, -677, 1992, 88, 9, 60)
(174, -682, 2018, 157, 8, 101)
(-240, -1002, 1926, 121, -8, 84)
(174, -760, 1675, 134, 16, 84)
(-51, -739, 1851, 221, 55, 66)
(-93, -714, 1911, 269, 69, 72)
