Timestamp,Raw Accel X,Raw Accel Y,Raw Accel Z,Raw Gyro X,Raw Gyro Y,Raw Gyro Z
0,-1594,-1046,-203,-2,0,1
1,-1647,-1134,253,1,-2,-1
2,-1637,-1037,-52,-2,2,-256
3,-1736,-1072,-105,1,3,2
4,-1719,-1060,-197,2,-255,-7
5,-1643,-1063,1,-5,5,4
6,-1684,-1107,-55,-3,3,-1
7,-1644,-1139,232,0,-1,0
8,-1641,-1050,-85,-2,0,-1
9,-1632,-1091,233,4,-3,0
10,-1655,-1041,-10,1,-4,-3
11,-1656,-1092,-84,-2,1,1
12,-1654,-1100,164,-3,1,0
13,-1684,-1029,18,-2,-256,-5
14,-1736,-1087,-68,1,1,-2
15,-1721,-1030,-71,255,0,1
16,-1709,-1154,244,-3,-3,-1
17,-1679,-1131,-244,1,-2,0
18,-1653,-1109,-34,0,3,0
19,-1648,-1263,198,0,0,-2
20,-1638,-1045,-68,-4,0,-255
21,-1670,-1058,184,0,-2,-254
22,-1728,-1122,25,0,-1,-1
23,-1694,-1096,-21,2,-4,-1
24,-1652,-1022,-138,1,-2,255
25,-1709,-1048,-206,1,-3,255
26,-1624,-1053,174,-3,-4,3
27,-1658,-1129,229,-3,-1,1
28,-1636,-1110,-226,-1,3,3
29,-1673,-1154,-75,1,-4,-4
30,-1611,-1043,-39,-5,5,1
31,-1702,-1130,-50,0,5,-1
32,-1712,-1083,175,-2,1,0
33,-1624,-1111,-60,2,-4,-2
34,-1595,-1102,-170,-1,-3,0
35,-1687,-1133,-70,1,0,0
36,-1669,-1081,-58,-1,-6,-2
37,-1682,-1025,-112,1,-2,-2
38,-1763,-1100,-40,0,-7,-2
39,-1611,-1051,-73,-1,0,-1
40,-1662,-1050,-208,-1,2,1
41,-1705,-1106,-256,-1,-3,-1
42,-1695,-1034,-94,-1,-3,255
43,-1697,-1080,-51,1,-3,-255
44,-1678,-791,247,0,1,6
45,-1676,-1248,10,253,-4,3
46,-1709,-1130,-10,254,4,-2
47,-1686,-1070,-200,-5,1,1
48,-1607,-1046,-102,0,-1,-7
49,-1645,-1099,253,-4,1,1
50,-1636,-1026,-250,1,-3,0
51,-1646,-1080,-232,-1,2,-1
52,-1671,-1057,4,-5,5,254
53,-1691,-1033,-88,1,4,-1
54,-1624,-782,-210,0,-2,-4
55,-1619,-1080,20,4,2,5
56,-1676,-1078,-1,3,-3,-1
57,-1698,-1123,-132,4,-3,-5
58,-1729,-1043,-4,1,-4,-4
59,-1620,-1052,-99,0,-3,-5
60,-1662,-1142,-4,-1,8,3
61,-1666,-1070,230,0,-1,1
62,-1604,-832,38,0,2,2
63,-1695,-1036,29,3,-3,-1
64,-1631,-1227,164,-2,-1,2
65,-1586,-1059,-37,-7,1,1
66,-1752,-1123,-203,0,3,255
67,-1616,-877,-63,1,5,-4
68,-1724,-1073,-253,-3,1,-1
69,-1707,-1027,-75,-3,4,-1
70,-1693,-783,-66,-4,-253,0
71,-1687,-1052,153,-2,1,-3
72,-1704,-1050,205,-255,0,-3
73,-1748,-1039,-41,-2,3,1
74,-1704,-1076,-33,3,-4,-1
75,-1711,-1132,-41,1,-5,255
76,-1660,-1052,206,0,2,-2
77,-1631,-1078,-211,0,-256,-4
78,-1602,-835,-130,-2,-3,-2
79,-1582,-1141,-253,-3,-1,-1
80,-1625,-1080,-203,0,-2,-2
81,-1690,-1042,-82,0,1,0
82,-1667,-1100,-61,1,1,0
83,-1695,-1154,-66,2,-4,-4
84,-1702,-882,-34,1,5,1
85,-1663,-1111,193,6,6,3
86,-1688,-1096,-22,254,-5,-1
87,-1698,-1106,-247,1,-3,1
88,-1594,-781,-226,7,-4,-3
89,-1670,-1078,-11,2,-1,-1
90,-1552,-1127,-244,0,5,0
91,-1662,-1089,-174,-1,-3,-1
92,-1693,-1031,181,-4,5,3
93,-1692,-840,141,-2,-256,-3
94,-1636,-1085,-116,254,-5,-2
95,-1675,-1037,174,1,-3,-2
96,-1667,-1115,-242,-2,4,-8
97,-1599,-1082,246,-3,-256,-8
98,-1626,-1042,12,-256,2,2
99,-1631,-1075,-98,-3,4,2
