Timestamp,Raw Accel X,Raw Accel Y,Raw Accel Z,Raw Gyro X,Raw Gyro Y,Raw Gyro Z
0,374,-1647,-56,-5966,-950,-1076
1,756,218,-3840,-4794,-63,251
2,215,-171,-2068,-3588,-996,929
3,15,762,-1806,-2888,-442,798
4,135,591,-1469,2069,43,-1179
5,-628,-95,-1327,6210,1331,115
6,19,-1665,-1299,2936,389,345
7,-245,-1709,-873,1874,13,-130
8,84,-1961,-374,2976,930,428
9,323,-1928,112,577,-53,-700
10,187,-1615,1339,3736,-232,-99
11,91,-1021,1645,4528,319,4
12,171,944,1917,3021,784,-86
13,25,1446,1498,3945,299,-50
14,127,1994,215,5596,545,119
15,411,1567,-782,4075,200,1051
16,283,1129,-1762,3001,-62,617
17,333,345,-1842,1778,-251,-36
18,30,506,-1863,346,-98,100
19,334,68,-1852,-658,324,-174
20,308,95,-2047,-367,-2,-313
21,294,233,-2188,-1437,425,-178
22,319,348,-1919,-3350,1219,241
23,512,1328,-1733,-3919,381,-544
24,300,1898,47,-4452,1593,-725
25,482,1718,973,-4715,458,-841
26,123,650,2107,-2782,664,-596
27,-216,295,1867,-1840,392,-305
28,-1,-265,2240,-73,47,-579
29,-195,-474,2325,-139,-113,-688
30,66,-43,1880,235,-83,-191
31,35,-47,1866,-319,-87,-44
32,73,-43,2047,116,-119,96
33,77,-65,2112,-112,-74,-172
34,171,-214,2270,-444,114,311
35,122,-256,2139,31,159,-56
36,56,206,2140,562,234,101
37,124,232,2267,-543,-104,-138
38,89,-79,2185,346,270,40
39,60,-125,2296,-123,20,-56
40,161,109,1900,-72,-69,-105
41,168,-232,1965,-175,106,-48
42,193,-187,2127,-45,6,-34
43,152,-48,1996,-121,-35,0
44,166,179,2046,-111,73,4
45,158,106,2249,42,-29,-43
46,189,255,1930,-134,54,-26
47,204,38,1798,20,51,-34
48,123,17,1857,-89,68,21
49,202,59,2274,-61,6,-59
50,189,11,2287,-153,51,5
51,71,202,1828,-29,62,-10
52,177,-227,2256,-75,14,-10
53,108,-20,2226,-139,117,73
54,96,-239,2068,-107,74,3
55,78,179,2285,-128,24,12
56,206,-83,2051,-321,83,-69
57,135,171,1852,145,47,-406
58,146,-134,1903,-311,43,-273
59,178,145,2000,-277,-107,-498
60,176,-162,2167,-245,63,-354
61,82,-93,2079,-153,42,-338
62,136,-255,1900,-212,97,-116
63,97,-46,1874,33,14,-151
64,57,-3,1902,62,9,19
65,149,-40,1792,-45,-120,26
66,174,-28,2033,8,5,21
67,40,50,2121,-58,-63,-42
68,49,-99,2103,-18,24,-6
69,185,-215,2071,-28,39,-14
70,185,-40,2049,-59,14,14
71,138,39,2089,-48,-13,19
72,66,42,2287,-59,11,-42
73,145,-32,2270,-35,37,8
74,476,101,1904,38,-15,-17
75,242,-72,1955,-132,-3,19
76,140,20,1949,-99,-5,-49
77,138,-90,1970,34,44,10
78,131,224,1965,-84,2,13
79,196,-22,2245,-63,17,22
80,137,254,2065,-56,48,-23
81,108,-67,1837,-21,16,-25
82,191,-17,2048,-110,91,10
83,207,-40,2051,-254,40,7
84,142,-56,2009,-72,15,0
85,108,164,2071,-151,34,18
86,73,-93,2293,-117,36,20
87,100,-154,1819,-99,39,6
88,83,-33,2267,26,7,8
89,65,-30,2002,-79,34,20
90,49,-38,2300,227,28,-123
91,111,-176,2065,-224,57,107
92,121,-148,2268,-61,0,1
93,156,-106,2040,-27,37,-14
94,135,-194,2038,56,9,-83
95,115,-135,1920,-110,16,32
96,112,-88,2139,-25,15,14
97,168,-178,2013,-55,-46,12
98,146,-64,2144,-17,-254,-46
99,78,-189,2069,-152,-65,38
