x_value,total_1,total_2
0,1000,1000
1,994,1001
2,1002,1000
3,996,1004
4,1004,1002
5,999,999
6,993,1001
7,997,1006
8,992,1002
9,1000,1000
10,1001,1000
11,1006,997
12,1007,1001
13,1005,1003
14,1002,1001
15,998,1002
16,1005,1003
17,1009,998
18,1009,994
19,1008,996
20,1013,997
21,1017,1000
22,1013,1002
23,1009,1005
24,1006,1005
25,1009,1009
26,1003,1014
27,1004,1011
28,1000,1007
29,996,1013
30,1000,1017
31,1000,1019
32,1004,1022
33,1011,1027
34,1019,1023
35,1020,1024
36,1015,1027
37,1015,1028
38,1014,1033
39,1019,1036
40,1025,1040
41,1020,1036
42,1025,1036
43,1025,1042
44,1019,1041
45,1018,1047
46,1016,1042
47,1013,1048
48,1015,1046
49,1019,1041
50,1027,1043
51,1032,1049
52,1030,1054
53,1037,1057
54,1039,1063
55,1040,1058
56,1047,1064
57,1055,1064
58,1059,1066
59,1058,1063
60,1061,1060
61,1064,1060
62,1070,1062
63,1076,1065
64,1075,1066
65,1079,1066
66,1073,1068
67,1071,1071
68,1065,1069
69,1071,1065
70,1075,1062
71,1077,1060
72,1079,1061
73,1085,1064
74,1091,1064
75,1085,1059
76,1082,1059
77,1085,1062
78,1089,1066
79,1089,1069
80,1089,1064
81,1094,1067
82,1090,1069
83,1091,1072
84,1092,1067
85,1094,1065
86,1099,1060
87,1102,1058
88,1097,1062
89,1092,1063
90,1086,1067
91,1092,1065
92,1088,1070
93,1089,1065
94,1084,1064
95,1092,1062
96,1099,1058
97,1106,1058
98,1110,1063
99,1118,1065
100,1124,1069
101,1131,1071
102,1126,1070
103,1121,1065
104,1122,1060
105,1127,1056
106,1127,1055
107,1121,1050
108,1122,1050
109,1124,1055
110,1130,1052
111,1138,1049
112,1145,1055
113,1149,1057
114,1146,1055
115,1148,1055
116,1153,1053
117,1155,1057
118,1158,1056
119,1164,1053
120,1159,1055
121,1161,1061
122,1169,1066
123,1176,1069
124,1172,1074
125,1174,1075
126,1171,1074
127,1177,1076
128,1185,1082
129,1191,1087
130,1196,1088
131,1197,1083
132,1201,1087
133,1196,1088
134,1197,1091
135,1196,1086
136,1200,1082
137,1194,1087
138,1193,1091
