Timestamp,Raw Accel X,Raw Accel Y,Raw Accel Z,Raw Gyro X,Raw Gyro Y,Raw Gyro Z
"2020-03-06,21:59",267,504,-2004,250,-9,-4
"2020-03-06,21:59",319,275,-1960,-1,-3,-5
"2020-03-06,21:59",296,53,-1982,-2,0,-2
"2020-03-06,21:59",270,310,-2289,-5,5,1
"2020-03-06,21:59",374,266,-1946,2,2,2
"2020-03-06,21:59",337,325,-1972,0,-2,-2
"2020-03-06,21:59",125,297,-1893,-4,3,0
"2020-03-06,21:59",317,268,-2022,-10,2,-1
"2020-03-06,21:59",424,19,-2008,9,-4,1
"2020-03-06,21:59",357,267,-1884,5,251,1
"2020-03-06,21:59",373,485,-2266,-5,6,5
"2020-03-06,21:59",358,315,-1993,251,-6,-2
"2020-03-06,21:59",334,276,-2071,-1,-2,0
"2020-03-06,21:59",499,348,-1936,0,0,0
"2020-03-06,21:59",340,466,-2017,-3,7,1
"2020-03-06,21:59",302,49,-1987,-2,5,-4
"2020-03-06,21:59",501,326,-1996,-3,3,0
"2020-03-06,21:59",328,352,-1875,-6,6,0
"2020-03-06,21:59",302,10,-1922,-3,3,-5
"2020-03-06,21:59",321,309,-2015,3,0,-1
"2020-03-06,21:59",339,466,-1960,1,-2,-2
"2020-03-06,21:59",315,303,-2027,-2,5,0
"2020-03-06,21:59",341,345,-1972,4,-2,-256
"2020-03-06,21:59",335,306,-1815,-7,5,0
"2020-03-06,21:59",486,289,-2223,-1,0,-1
"2020-03-06,21:59",338,14,-1982,-3,4,0
"2020-03-06,21:59",343,271,-1962,0,5,2
"2020-03-06,21:59",322,275,-1991,0,3,0
"2020-03-06,21:59",282,355,-1979,-9,-2,-3
"2020-03-06,21:59",329,3,-1833,-1,1,0
"2020-03-06,21:59",331,310,-2229,0,-4,0
"2020-03-06,21:59",489,200,-1927,1,-2,1
"2020-03-06,21:59",357,312,-2258,-1,-3,-2
"2020-03-06,21:59",318,320,-1952,3,0,1
"2020-03-06,21:59",367,48,-2006,-3,5,4
"2020-03-06,21:59",70,60,-1812,0,4,0
"2020-03-06,21:59",390,315,-1934,-2,5,0
"2020-03-06,21:59",263,328,-1978,-1,-2,-1
"2020-03-06,21:59",294,509,-2024,-1,2,-1
"2020-03-06,21:59",323,332,-1932,0,-4,-2
